Factor_Strategy_RGX,Constraint_Type,Tatiana_Factor_Strategy,Tatiana_Category
[a-z]* farm[a-z]* [a-z]* credit[a-z]*,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions
(?:^|\W)young(?:$|\W),Human Capacity,Age,Individual AC
(?:^|\W)worr[a-z]*,Psychological,Psychological Drivers,Psychological factors
(?:^|\W)women(?:$|\W),Human Capacity,Gender,Individual AC
(?:^|\W)woman(?:$|\W),Human Capacity,Gender,Individual AC
(?:^|\W)wealth[a-z]*,Economic&Financial,Income,Individual AC
(?:^|\W)trust(?:$|\W),Psychological,Psychological Drivers,Psychological factors
(?:^|\W)training,Information&Awareness,Access To Information,Knowledge and Information
(?:^|\W)tradition[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions
(?:^|\W)television,Technology&Infrastructure,Access To Technology,Technology
(?:^|\W)technology,Technology&Infrastructure,Access To Technology,Technology
(?:^|\W)subsidy,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions
(?:^|\W)spread  ,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions
(?:^|\W)skill(?:$|\W),Human Capacity,Farming Experience,Individual AC
(?:^|\W)shock,Tcca-Specific ,TCCA-specific ,TCCA-specific 
(?:^|\W)school,Human Capacity,Education,Individual AC
(?:^|\W)saving[a-z]*,Economic&Financial,Economic Factors,Individual AC
(?:^|\W)risk,Psychological,Psychological Drivers,Psychological factors
(?:^|\W)religion,Human Capacity,Demographic Factors,Individual AC
(?:^|\W)refund[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions
(?:^|\W)race(?:$|\W),Human Capacity,Demographic Factors,Individual AC
people race,Human Capacity,Demographic Factors,Individual AC
people color,Human Capacity,Demographic Factors,Individual AC
(?:^|\W)program[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions
(?:^|\W)profit[a-z]*,Economic&Financial,Economic Factors,Individual AC
(?:^|\W)productivit[a-z]*,Economic&Financial,Economic Factors,Individual AC
(?:^|\W)production,Economic&Financial,Economic Factors,Individual AC
(?:^|\W)practice(?:$|\W),Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions
(?:^|\W)povert[a-z]*,Economic&Financial,Economic Factors,Individual AC
(?:^|\W)perception,Psychological,Psychological Drivers,Psychological factors
(?:^|\W)peer(?:$|\W),Social&Cultural,Social Capital,Institutional AC - Informal Institutions
(?:^|\W)payback,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions
householder,Economic&Financial,Owner,Individual AC
(?:^|\W)own[a-z]*,Economic&Financial,Owner,Individual AC
(?:^|\W)old(?:$|\W),Human Capacity,Age,Individual AC
(?:^|\W)neighbour,Social&Cultural,Social Capital,Institutional AC - Informal Institutions
(?:^|\W)muslim[a-z]*,Human Capacity,Demographic Factors,Individual AC
(?:^|\W)municipal[a-z]*,Governance&Institutions,Government Support,Institutional AC - Formal Institutions
(?:^|\W)motivation ,Psychological,Psychological Drivers,Psychological factors
(?:^|\W)mother(?:$|\W),Human Capacity,Gender,Individual AC
(?:^|\W)money,Economic&Financial,Economic Factors,Individual AC
(?:^|\W)men(?:$|\W),Human Capacity,Gender,Individual AC
(?:^|\W)market[a-z]*,Economic&Financial,Economic Factors,Individual AC
(?:^|\W)man(?:$|\W),Human Capacity,Gender,Individual AC
(?:^|\W)male(?:$|\W),Human Capacity,Gender,Individual AC
(?:^|\W)loan(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions
(?:^|\W)law(?:$|\W),Governance&Institutions,Government Support,Institutional AC - Formal Institutions
institutional norm(s|),Governance&Institutions,Government Support,Institutional AC - Formal Institutions
(?:^|\W)investment,Economic&Financial,Access To Finance,Institutional AC - Formal Institutions
(?:^|\W)innovator(?:$|\W),Human Capacity,Farming Experience,Individual AC
(?:^|\W)inherit[a-z]*(?:$|\W),Economic&Financial,Owner,Individual AC
(?:^|\W)information,Information&Awareness,Access To Information,Knowledge and Information
(?:^|\W)inequalit[a-z]*,Economic&Financial,Economic Factors,Individual AC
(?:^|\W)income,Economic&Financial,Income,Individual AC
(?:^|\W)inability,Human Capacity,Farming Experience,Individual AC
(?:^|\W)health,Human Capacity,Health,Individual AC
(?:^|\W)hunger,Human Capacity,Health,Individual AC
(?:^|\W)girl[a-z]*(?:$|\W),Human Capacity,Gender,Individual AC
(?:^|\W)gender(?:$|\W),Human Capacity,Gender,Individual AC
(?:^|\W)friend,Social&Cultural,Social Capital,Institutional AC - Informal Institutions
(?:^|\W)female(?:$|\W),Human Capacity,Gender,Individual AC
(?:^|\W)fear[a-z]*(?:$|\W),Psychological,Psychological Drivers,Psychological factors
(?:^|\W)father(?:$|\W),Human Capacity,Gender,Individual AC
(?:^|\W)famine,Hazard,Non-Climate Related Hazard,Hazard Experience
(?:^|\W)elderly(?:$|\W),Human Capacity,Age,Individual AC
(?:^|\W)drastic,Tcca-Specific ,TCCA-specific ,TCCA-specific 
(?:^|\W)desire(?:$|\W),Psychological,Psychological Drivers,Psychological factors
(?:^|\W)denial(?:$|\W),Psychological,Psychological Barriers,Psychological factors
(?:^|\W)debt(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions
colon[a-z]* identi[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions
social identi[a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions
(?:^|\W)cultur[a-z]*(?:$|\W),Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions
(?:^|\W)cooperative [a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions
(?:^|\W)contagion,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions
(?:^|\W)confidence,Psychological,Psychological Drivers,Psychological factors
(?:^|\W)collapse ,Tcca-Specific ,TCCA-specific ,TCCA-specific 
(?:^|\W)child[a-z]*,Human Capacity,Demographic Factors,Individual AC
(?:^|\W)child(?:$|\W),Human Capacity,Age,Individual AC
(?:^|\W)cast(?:$|\W),Human Capacity,Demographic Factors,Individual AC
(?:^|\W)budd[a-z]*,Human Capacity,Demographic Factors,Individual AC
(?:^|\W)black,Human Capacity,Demographic Factors,Individual AC
(?:^|\W)belief(s|),Psychological,Psychological Drivers,Psychological factors
(?:^|\W)bankrupt[a-z]*,Economic&Financial,Economic Factors,Individual AC
(?:^|\W)bank(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions
(?:^|\W)aware[a-z]*,Psychological,Psychological Drivers,Psychological factors
(?:^|\W)autonom[a-z]*,Psychological,Psychological Drivers,Psychological factors
(?:^|\W)asset(?:$|\W),Economic&Financial,Assets,Individual AC
(?:^|\W)anxiet[a-z]*,Psychological,Psychological Barriers,Psychological factors
(?:^|\W)aging(?:$|\W),Human Capacity,Age,Individual AC
(?:^|\W)agency[a-z]*(?:$|\W),Psychological,Psychological Drivers,Psychological factors
(?:^|\W)age(?:$|\W),Human Capacity,Age,Individual AC
(?:^|\W)able(?:$|\W),Human Capacity,Farming Experience,Individual AC
(?:^|\W)abilit[a-z]*,Human Capacity,Farming Experience,Individual AC
